Ligand	Receptor
Apol9a	Chrna3
Apol10a	Chrna3
Apol11a	Chrna3
Apol10b	Chrna3
Apol11b	Chrna3
Apol9b	Chrna3
App	Psen1
App	Psen2
App	Olfr1369-ps1
App	Olfr263
App	Rasa3
App	Olfr1354
App	Olfr8
App	Olfr1352
App	Olfr19
App	Olfm3
App	Rab5c
App	Slc1a1
App	Stx11
App	Akt2
App	Ror1
App	Ntm
App	P2ry2
App	Ceacam2
App	Ceacam1
App	Kir3dl1
App	Kir3dl2
App	Pim1
App	Glrb
App	Ache
App	App
App	App
App	App
App	Olfr1369-ps1
App	Olfr263
App	Sorl1
App	Adra1d
App	Hrh3
App	Npffr1
App	P2ry2
App	Gna12
App	Tbxa2r
App	P2ry6
App	Mtnr1b
App	P2rx7
App	Aplnr
App	Tas2r118
App	Tas2r120
App	Tas2r136
App	Adcy6
App	Ccr4
App	Gna11
App	Oxtr
App	Adra1a
App	Bcap31
App	Agrn
App	Lrp1
App	App
App	App
App	App
App	Agrn
App	App
App	Ngfr
App	Ngfr
App	Ptafr
App	Grpr
App	Grm4
App	Gpr18
App	Ffar3
App	Tacr3
App	Cysltr1
App	Grm2
App	Sstr3
App	Agrn
App	App
App	Cxcr5
App	Tas2r130
App	Cxcr3
App	Rxfp4
App	Fpr-rs4
App	Fpr-rs7
App	Fpr-rs6
App	Fpr-rs3
App	Npsr1
App	Gpr4
App	Drd4
App	Lpar3
App	Cckbr
App	App
App	Psen1
App	App
App	Psen1
App	Diras1
App	Stoml2
App	Cd74
App	Gjb1
App	Nr1h3
App	Pard6b
App	Cd300ld
App	Cd300ld2
App	Cd300ld4
App	Cd300ld5
App	Cd300ld3
App	Cd300lf
App	Tpra1
App	Myot
App	Rab28
App	Slc2a2
App	Ntrk3
App	Bcap31
App	Bcap31
App	Egfr
App	Sorl1
App	Robo3
App	Bcap31
App	Irs1
App	Nr1d1
App	Pde4d
App	Ptpn12
App	Vac14
App	Olfm1
App	Anxa2
App	Skap1
App	Slc17a5
App	Ptpro
App	Itga6
App	Psen1
App	Psen2
App	Psen1
App	Lrp1
App	Apbb1
App	Apbb1
App	Notch1
App	Psen1
App	Apoe
App	Egfr
App	Psen1
App	Apoe
App	Nr1d1
App	Ctnna1
App	Irs1
App	Psen1
App	Psen1
App	Pde4d
App	Psen1
App	Apoe
App	Agtr2
App	Cxcr2
App	Gper1
App	Ackr3
App	Htr1b
App	Adra1b
App	Npbwr1
App	Npy1r
App	Adra2b
App	Grk5
App	Grm7
App	Avpr1b
App	Adcy7
App	Gna13
App	Grm3
App	S1pr5
App	Tas2r137
App	Ccr2
App	Hcar2
App	S1pr4
App	Htr2c
App	Diras1
App	Egfr
App	Cd74
App	Gjb1
App	Stoml2
App	Cacnb1
App	Cd74
App	F2rl3
App	Grm1
App	Ccr6
App	Bdkrb2
App	F2rl1
App	Agtr1a
App	Agtr1b
App	Grm6
App	Lpar6
App	Cnr2
App	Nmur1
App	Adra2c
App	Kiss1r
App	Ffar2
App	Hcrtr1
App	Chrm2
App	Ntsr1
App	Galr2
App	Htr2b
App	Gcgr
App	Grb2
App	Shc1
App	Tnfrsf21
App	Tnfrsf21
App	Dmd
App	Shc1
App	Grb2
App	Smap1
App	F2r
App	Ccr1
App	Ccr1l1
App	Oprl1
App	Lpar4
App	Hrh1
App	Npy5r
App	Bdkrb1
App	Fpr1
App	Mchr1
App	Hrh4
App	Drd3
App	Oprm1
App	Cxcr6
App	Ccr5
App	Chrm5
App	Lpar5
App	Gpr65
App	Arhgef25
App	F2rl2
App	Oprk1
App	Cxcl16
App	Ccr7
App	Tacr2
App	Adi1
App	Dio3
App	Ephb4
App	Psen1
App	Shc1
App	Grb2
App	Ngfr
App	Dmd
App	Gnat2
App	App
App	Esrrg
App	Cacng2
App	Mag
App	Ncstn
App	Shc1
App	Bsnd
App	Shc1
App	Lpar3
App	Adam22
App	Lrp2
App	Tnfrsf21
App	Napa
App	Cxcl16
App	Ptgdr
App	Epha2
App	Cldn3
App	Tnfrsf21
App	AA986860
App	Igsf6
App	Cd36
App	Lpl
App	Cmtm3
App	Ap2a2
App	Fcgr4
App	Cacng3
App	Rab3d
App	Il1rl1
App	Pparg
App	Mast1
App	Rab3a
App	Kdr
App	Kdr
App	Dlg4
App	Dlg4
App	Gnao1
App	Gnao1
App	Sdc1
App	Dlg4
App	Dlg4
App	Mast1
App	Chrm1
App	Ccr8
App	Adora2b
App	Gabbr2
App	Ptgfr
App	P2ry12
App	Npffr2
App	Nmbr
App	Gpr68
App	Ptger3
App	Tas2r138
App	Tas2r119
App	Tas2r115
App	Tas2r117
App	Tas2r123
App	Tas2r116
App	Tas2r110
App	Tas2r113
App	Tas2r125
App	Tas2r129
App	Tas2r109
App	Tas2r103
App	Tas2r140
App	P2ry4
App	Sstr5
App	Apbb1
App	Apoe
App	Psen2
App	Lrrc8d
App	Kras
App	Rab40b
App	Syk
App	Plscr1
App	Plscr2
App	1700057G04Rik
App	Fgfr2
App	Rab39
App	Vamp3
App	Ackr2
App	Camkv
App	Gna12
App	Snap25
App	Wnt4
App	Btk
App	Evi2a
App	Tm2d1
App	Tm2d1
App	Tirap
App	Olfr1416
App	Olfr1415
App	Olfr1414
App	S1pr1
App	Src
App	Il20rb
App	Flot1
App	Plscr1
App	Plscr2
App	1700057G04Rik
App	Flot1
App	Kras
App	Lrrc8d
App	Rab40b
App	C5ar1
App	Npy
App	Cnr1
App	Casr
App	Cckar
App	Adra2a
App	Tas2r107
App	Tas2r106
App	Tas2r104
App	Tas2r105
App	Tas2r114
App	Tas2r139
App	Ccr9
App	Tas2r126
App	S1pr1
App	P2ry10
App	Lrp1b
App	Tm2d1
App	Flot1
App	Ide
App	Tirap
App	Drd2
App	Ffar1
App	Grm8
App	Opn4
App	Ntsr2
App	P2ry14
App	Trhr
App	Htr1f
App	Ltb4r2
App	Htr2a
App	Lpar1
App	Fpr3
App	Fpr2
App	Ccr3
App	Ccr10
App	Adcy3
App	Oxgr1
App	P2ry13
App	Gprc6a
App	Prokr2
App	Tacr1
App	Gpr55
App	Tas2r108
App	Npy2r
App	Adcy9
App	Lpar2
App	Chrm4
App	Olfr147
App	Olfr918
App	Gpc1
App	Ache
App	Tek
App	Pdpk1
App	Asgr1
App	P2rx6
App	Gpr12
App	Clec12a
App	Ppan
App	Ppan
App	Npy4r
App	Vtn
Areg	Egfr
Areg	Icam1
Arf1	Ptpn1
Arf1	Cyth2
Arf1	Pld2
Arf1	Vcam1
Arf1	Rab5c
Arf1	Ap2m1
Arl8b	Grpr
Arl8b	Mas1
Arl8b	Srprb
Arl8b	Tgfbr1
Arl8b	App
Arl8b	Akp3
Arl8b	Alppl2
Arl8b	Alpi
Arl8b	Il17rc
Arl8b	Tgfbr1
Arl8b	Rab29
Arl8b	Raet1d
Arl8b	Raet1e
Arsg	Ide
Arsk	Plaur
Artn	Ncam1
Artn	Gfra3
Artn	Gfra3
Artn	Gfra3
Artn	Gfra3
Artn	Gfra1
Asgr1	Canx
Asgr1	Clec4g
Asgr1	Clec4g
Asgr1	Itga1
a	Mc4r
a	Mc1r
a	Mc3r
a	Mc5r
Avp	Avpr2
Avp	Grpr
Avp	Tacr2
Avp	Npffr1
Avp	Avpr2
Avp	Adcy3
Avp	Grm4
Avp	Sctr
Avp	F2rl1
Avp	Grm2
Avp	Fpr3
Avp	Fpr2
Avp	Chrm5
Avp	Agtr2
Avp	Mc5r
Avp	Nmbr
Avp	Gpbar1
Avp	Ptgir
Avp	Crhr1
Avp	Grm8
Avp	Drd5
Avp	Ptafr
Avp	Tacr3
Avp	Kiss1r
Avp	Bdkrb1
Avp	Gpr4
Avp	Adcy9
Avp	Pth1r
Avp	Ntsr1
Avp	Lpar1
Avp	Chrm1
Avp	Adra1d
Avp	Adra1b
Avp	Agtr1a
Avp	Agtr1b
Avp	P2ry2
